dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu
KidneyCyst,fold_2,neg_050.nii.gz,,21.378054443418335,6.1912892490232965
KidneyCyst,fold_2,neg_058.nii.gz,,13.906200989322897,6.500594530321046
KidneyCyst,fold_2,neg_067.nii.gz,,7.124547800592923,1.6545454545454545
KidneyCyst,fold_2,neg_080.nii.gz,,9.25356794033432,25.77284157585918
KidneyCyst,fold_2,neg_081.nii.gz,,9.840010427264067,70.2267365661861
KidneyCyst,fold_2,neg_096.nii.gz,,8.206921972069852,3.1580333625987707
KidneyCyst,fold_2,neg_108.nii.gz,,34.660716491245225,34.80992314355751
KidneyCyst,fold_3,cyst_000.nii.gz,9.948987084573515,49.57282277318424,13.94373510904759
KidneyCyst,fold_3,cyst_003.nii.gz,158.2329361715955,16.79671749035962,16.33302891933029
KidneyCyst,fold_3,cyst_006.nii.gz,36.20347629551759,15.351233236966918,25.751726644856415
KidneyCyst,fold_3,cyst_007.nii.gz,156.774152332362,19.500725704888787,13.542394702961191
KidneyCyst,fold_3,cyst_008.nii.gz,100.7482754636963,3.539025112328772,28.0
KidneyCyst,fold_3,cyst_021.nii.gz,68.5957791608975,6.938373034791479,19.496062992125985
KidneyCyst,fold_3,cyst_032.nii.gz,108.84375368866873,23.673778995096338,9.592147435897436
KidneyCyst,fold_3,cyst_037.nii.gz,199.6618998890576,52.04006662105414,2.3541525345660714
KidneyCyst,fold_3,cyst_045.nii.gz,181.38290128272877,41.150949251959986,7.080741756259471
KidneyCyst,fold_3,cyst_046.nii.gz,95.89235728389906,23.788696256337715,17.69942365927518
KidneyCyst,fold_3,cyst_058.nii.gz,81.17070233679983,13.667877649675573,60.37777777777778
KidneyCyst,fold_3,cyst_060.nii.gz,169.71953986317072,35.23498099395669,18.313929124533114
KidneyCyst,fold_3,cyst_063.nii.gz,4.962617736095488,45.41652153824787,21.665341255562442
KidneyCyst,fold_3,cyst_065.nii.gz,200.87870085829152,17.880871757960932,16.049300060864272
KidneyCyst,fold_3,cyst_069.nii.gz,192.73971615619175,41.8928611413151,20.189539820003397
KidneyCyst,fold_3,cyst_102.nii.gz,5.171534224517089,27.75884468397997,20.52858864488484
KidneyCyst,fold_3,cyst_111.nii.gz,154.44739866034996,24.604129014523487,7.1158675799086755
KidneyCyst,fold_3,cyst_114.nii.gz,197.41439960458308,43.79620238347581,6.147526931541758
KidneyCyst,fold_3,cyst_116.nii.gz,114.7242416027586,44.73358430799015,10.299456393287638
KidneyCyst,fold_3,cyst_121.nii.gz,197.4937154460286,34.287796902713865,22.697862391449565
KidneyCyst,fold_3,cyst_123.nii.gz,225.7675660350253,56.17852357369091,13.194896913088051
KidneyCyst,fold_3,cyst_125.nii.gz,123.14204114707466,20.87236729922752,24.856475583864118
KidneyCyst,fold_3,cyst_136.nii.gz,161.53385596386752,7.5149374695197855,42.674528301886795
KidneyCyst,fold_3,cyst_137.nii.gz,199.4221582209174,24.90260112457082,20.91409391280025
KidneyCyst,fold_3,cyst_149.nii.gz,230.19852005141266,31.49592793924282,30.259595043819886
KidneyCyst,fold_3,cyst_153.nii.gz,207.64480535436073,47.90157837751702,15.49872667740762
KidneyCyst,fold_3,cyst_154.nii.gz,205.7015922936148,47.57962640246825,15.577769281996892
KidneyCyst,fold_3,cyst_158.nii.gz,71.69844694737408,40.40412068193192,16.08583544735148
