dataset,fold,case,label_1_hd95,label_1_esd_mm,label_1_density_hu,label_2_hd95,label_2_esd_mm,label_2_density_hu,label_3_hd95,label_3_esd_mm,label_3_density_hu,label_4_hd95,label_4_esd_mm,label_4_density_hu
KidneyAbnormalities,fold_2,stone_027.nii.gz,7.485753424968784,76.04170385630907,22.972899192410257,,55.14858248574248,4.818118566947917,191.17358034621063,2.2316452051472164,623.6666666666666,,3.157846680903162,31.823529411764707
KidneyAbnormalities,fold_2,stone_028.nii.gz,1.25,80.66330109735635,20.68314128684639,,14.741061945318307,-1.7803979366249079,1.3984374999999993,2.9611907473621306,142.63636363636363,0.0,0.0,
KidneyAbnormalities,fold_2,stone_034.nii.gz,1.0993300738759606,77.46999922017899,27.30638345402759,,17.45884207322838,7.469232854432096,0.77734375,3.7308980782938175,102.02777777777777,0.0,0.0,
KidneyAbnormalities,fold_2,stone_036.nii.gz,1.2499998807907104,83.25890963742292,26.72748519428734,0.0,0.0,,13.79394615908346,6.28680901293672,75.44642857142857,0.0,0.0,
KidneyAbnormalities,fold_2,stone_044.nii.gz,1.25,83.11504076197474,28.36723803067226,,6.751262988489797,12.760683760683762,14.445796239726613,6.98360490555949,185.74903474903476,0.0,0.0,
KidneyAbnormalities,fold_2,stone_050.nii.gz,1.0882811932451326,85.57584161758393,133.86607698762893,0.0,0.0,,,0.0,,0.0,0.0,
KidneyAbnormalities,fold_2,stone_058.nii.gz,0.818359375,87.60927078857542,21.811699026586968,0.0,0.0,,0.818359375,4.307809665282298,103.58,0.0,0.0,
KidneyAbnormalities,fold_2,stone_067.nii.gz,1.0496123026733577,75.60477921026727,25.012786377426355,,9.147183712368964,11.630584192439862,140.52424498443858,6.779992113244564,380.0548523206751,0.0,0.0,
KidneyAbnormalities,fold_2,tumor_005.nii.gz,1.1794320139322492,86.98506862072863,127.86984062591138,,4.497825397646527,74.25547445255475,0.0,0.0,,4.169921875,22.3428463730385,158.0514500089323
KidneyAbnormalities,fold_2,tumor_006.nii.gz,1.1435242477001197,95.34003996379165,155.46991024586208,,4.215713897129103,132.2,0.0,0.0,,3.8580324872726983,19.55782184936204,102.35269571023201
KidneyAbnormalities,fold_2,tumor_021.nii.gz,0.8707542955466201,84.92819532469811,85.14880410067896,0.0,0.0,,0.0,0.0,,1.6607868747111685,21.49002069783389,64.34078239608802
